CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 
Done!16.26 s

Number of sentences: 15586
Number of features:  1528756
Number of thread(s): 8
Freq:                4
eta:                 0.00010
C:                   3.00000
shrinking size:      20
iter=163 terr=0.00053 serr=0.01950 act=1528756 obj=4142.77803 diff=0.00182
iter=164 terr=0.00052 serr=0.01944 act=1528756 obj=4130.36993 diff=0.00300
iter=165 terr=0.00051 serr=0.01886 act=1528756 obj=4121.96301 diff=0.00204
iter=166 terr=0.00050 serr=0.01873 act=1528756 obj=4116.09734 diff=0.00142
iter=167 terr=0.00051 serr=0.01867 act=1528756 obj=4107.61061 diff=0.00206
iter=168 terr=0.00049 serr=0.01796 act=1528756 obj=4095.97909 diff=0.00283
iter=169 terr=0.00051 serr=0.01809 act=1528756 obj=4094.97961 diff=0.00024
iter=170 terr=0.00048 serr=0.01758 act=1528756 obj=4085.76688 diff=0.00225
iter=171 terr=0.00048 serr=0.01784 act=1528756 obj=4076.77847 diff=0.00220
iter=172 terr=0.00048 serr=0.01790 act=1528756 obj=4070.80111 diff=0.00147
iter=173 terr=0.00046 serr=0.01732 act=1528756 obj=4062.22161 diff=0.00211
iter=174 terr=0.00044 serr=0.01687 act=1528756 obj=4056.73073 diff=0.00135
iter=175 terr=0.00045 serr=0.01687 act=1528756 obj=4048.14483 diff=0.00212
iter=176 terr=0.00043 serr=0.01630 act=1528756 obj=4040.24057 diff=0.00195
iter=177 terr=0.00044 serr=0.01707 act=1528756 obj=4053.55549 diff=0.00330
iter=178 terr=0.00043 serr=0.01623 act=1528756 obj=4036.08432 diff=0.00431
iter=179 terr=0.00043 serr=0.01642 act=1528756 obj=4028.39760 diff=0.00190
iter=180 terr=0.00043 serr=0.01623 act=1528756 obj=4023.02162 diff=0.00133
iter=181 terr=0.00042 serr=0.01585 act=1528756 obj=4017.89206 diff=0.00128
iter=182 terr=0.00041 serr=0.01566 act=1528756 obj=4012.64565 diff=0.00131
iter=183 terr=0.00039 serr=0.01514 act=1528756 obj=3998.76013 diff=0.00346
iter=184 terr=0.00045 serr=0.01617 act=1528756 obj=4042.94525 diff=0.01105
iter=185 terr=0.00039 serr=0.01476 act=1528756 obj=3995.06298 diff=0.01184
iter=186 terr=0.00037 serr=0.01450 act=1528756 obj=3986.95289 diff=0.00203
iter=187 terr=0.00037 serr=0.01405 act=1528756 obj=3979.26627 diff=0.00193
iter=188 terr=0.00038 serr=0.01450 act=1528756 obj=3975.12520 diff=0.00104
